TeamID,Key,School,Name,Conference
129,CHAR,Charleston,Cougars,Coastal Athletic Association
130,ELON,Elon,Phoenix,Coastal Athletic Association
131,NEAST,Northeastern,Huskies,Coastal Athletic Association
132,DREXEL,Drexel,Dragons,Coastal Athletic Association
133,DEL,Delaware,Fightin' Blue Hens,Conference USA
134,UAB,UAB,Blazers,American
135,MTNST,Middle Tennessee,Blue Raiders,Conference USA
136,MARSH,Marshall,Thundering Herd,Sun Belt
137,LOUTCH,Louisiana Tech,Bulldogs,Conference USA
138,OLD,Old Dominion,Monarchs,Sun Belt
139,UTEP,UTEP,Miners,Conference USA
140,FLINT,Florida International,Golden Panthers,Conference USA
141,NTX,North Texas,Mean Green,American
142,CHARLT,Charlotte,49ers,American
143,SOUMIS,Southern Miss,Golden Eagles,Sun Belt
144,WKENT,Western Kentucky,Hilltoppers,Conference USA
145,FLATL,Florida Atlantic,Owls,American
146,RICE,Rice,Owls,American
147,UTSA,UTSA,Roadrunners,American
148,VALP,Valparaiso,Beacons,Missouri Valley
149,OAK,Oakland,Golden Grizzlies,Horizon League
150,WRGHT,Wright State,Raiders,Horizon League
151,WBD,Milwaukee,Panthers,Horizon League
152,GB,Green Bay,Phoenix,Horizon League
153,DET,Detroit,Titans,Horizon League
154,NKENT,Northern Kentucky,Norse,Horizon League
155,YNGST,Youngstown State,Penguins,Horizon League
156,CLVST,Cleveland State,Vikings,Horizon League
157,ILLCHI,UIC,Flames,Missouri Valley
158,YALE,Yale,Bulldogs,Ivy League
159,COLMB,Columbia,Lions,Ivy League
160,PRNCE,Princeton,Tigers,Ivy League
161,PENN,Penn,Quakers,Ivy League
162,CORNEL,Cornell,Big Red,Ivy League
163,BROWN,Brown,Bears,Ivy League
164,HARVRD,Harvard,Crimson,Ivy League
165,DART,Dartmouth,Big Green,Ivy League
166,MONM,Monmouth,Hawks,Coastal Athletic Association
167,IONA,Iona,Gaels,Metro Atlantic Athletic
168,SIENA,Siena,Saints,Metro Atlantic Athletic
169,STPETE,Saint Peter's,Peacocks,Metro Atlantic Athletic
170,FAIR,Fairfield,Stags,Metro Atlantic Athletic
