TeamID,Key,School
247,ARZ,Arizona
248,UTAH,Utah
249,WASH,Washington
250,COL,Colorado
251,CAH,California
252,OREGST,Oregon State
253,UCLA,UCLA
254,STAN,Stanford
255,ARZST,Arizona State
256,WASHST,Washington State
257,BUCK,Bucknell
258,NAVY,Navy
259,BOSTU,Boston
260,LEHI,Lehigh
261,COLG,Colgate
262,LOYMD,Loyola Maryland
263,ARMY,Army
264,HOLY,Holy Cross
265,AMERCN,American
266,LAFAY,Lafayette
267,SC,South Carolina
268,UK,Kentucky
269,LSU,LSU
270,TXAM,Texas A&M
271,FL,Florida
272,GA,Georgia
273,VAND,Vanderbilt
274,MISS,Ole Miss
275,ALA,Alabama
276,ARK,Arkansas
277,TENN,Tennessee
278,MSPST,Mississippi State
279,AUBRN,Auburn
280,MISSR,Missouri
281,CHAT,Chattanooga
282,ETNST,East Tennessee State
283,FURMAN,Furman
284,MERC,Mercer
285,WOFF,Wofford
286,NCG,UNCG
287,WCAR,Western Carolina
288,CITA,Citadel
289,SAMF,Samford
290,VAMIL,VMI
291,SFAUS,Stephen F. Austin
292,TAMU,Texas A&M-Corpus Christi
293,HOUBAP,Houston Christian
294,INCAR,Incarnate Word
295,SMHO,Sam Houston
296,ABCHR,Abilene Christian
297,NO,New Orleans
298,CARK,Central Arkansas
299,MCNST,McNeese State
300,SELOU,Southeastern Louisiana
301,NWST,Northwestern State
302,NICHLS,Nicholls
303,LAMAR,Lamar
304,TXS,Texas Southern
305,SOUTH,Southern
306,JACKST,Jackson State
307,ALCST,Alcorn State
308,MSVLST,Mississippi Valley State
309,ALAAM,Alabama A&M
310,ARPB,UAPB
311,ALAST,Alabama State
312,GRMBST,Grambling State
313,PVAM,Prairie View A&M
314,SDKST,South Dakota State
315,IPFW,Purdue Fort Wayne
316,NEOM,Omaha
317,IUPUI,IU Indy
318,NDKST,North Dakota State
319,DEN,Denver
320,ORAL,Oral Roberts
321,SDAK,South Dakota
322,WILL,Western Illinois
323,ARLR,Little Rock
324,LOULAF,Louisiana-Lafayette
325,TXA,UT Arlington
326,LAMON,Louisiana-Monroe
327,ARKST,Arkansas State
328,GAST,Georgia State
329,GAS,Georgia Southern
330,SALA,South Alabama
331,APPLST,Appalachian State
332,TXST,Texas State
333,TROY,Troy
334,GNZG,Gonzaga
335,STMRY,Saint Mary's
336,BYU,BYU
337,PEPP,Pepperdine
338,SF,San Francisco
339,PACFC,Pacific
340,PORT,Portland
341,SANCLR,Santa Clara
342,SD,San Diego
343,LOYMRY,Loyola Marymount
344,NMXST,New Mexico State
345,GCAN,Grand Canyon
346,CSU,Bakersfield
347,SEA,Seattle
348,UTAHV,Utah Valley
350,UTRGV,Texas-Rio Grande Valley
351,CHIST,Chicago State
352,EMPST,Emporia St.
353,CHAM,Chaminade
354,HDSM,Hardin-Simmons
355,FRMN,Francis Marion
356,BOWST,Bowie St.
357,YORK,York College
361,ALLEN,Allen
362,UMKC,Kansas City
391,NMH,New Mexico Highlands
392,TXAMC,East Texas A&M
393,NWOST,Northwestern Oklahoma State
394,CABAP,California Baptist
396,NAL,North Alabama
397,GBP,Greensboro
398,CWW,Cental Washington
399,CALVW,Calvary
400,CCT,Champion Christian College
401,MGS,Middle Georgia State
402,CALTECH,Cal Tech
403,HHILO,Hawaii Hilo
404,WILCAR,William Carey
405,PINE,Pine Manor
406,STEDWA,St. Edwards
407,TRINB,Trinity Baptist
408,EWUN,East-West
409,SDCHR,San Diego Christian
410,HTILLO,Huston-Tillotson
411,WMT,Montana-Western
412,BETH,Bethesda
413,ALBI,Albion
414,WILB,Wilberforce
415,RUST,Rust College
416,HARTWI,Hartwick
417,REGEN,Regent
418,CLU,Cal Lutheran
419,PORTBI,Portland Bible
420,REIN,Reinhardt
